Duracion_min;Tr_2.0;Tr_5.0;Tr_10.0;Tr_20.0;Tr_50.0;Tr_100.0;Tr_200.0;Tr_500.0
730;4,1247404133541865;5,268782337607599;6,320698030598;7,155501954740152;8,163628848384135;9,124911237148234;9,735210146120044;11,054749259746746
735;4,099919117077771;5,2366171065443;6,282667298903371;7,112449382326963;8,114956896659338;9,070987451279187;9,677167806906793;10,988821042769311
740;4,075413954713525;5,20486432132922;6,245120911394121;7,069945103973101;8,066902170838274;9,017744687421626;9,619861525938875;10,923728998110672
745;4,051218804353552;5,17351595973495;6,208049489166591;7,027978502520436;8,01945275202838;8,965169829812858;9,563277089580819;10,859456977502687
750;4,027327702678178;5,142564208028869;6,171443896270593;6,986539235838838;7,972597029453315;8,913250101078324;9,507400651635725;10,79598925015466
755;4,003734839824278;5,112001454209094;6,135295231847989;6,945617227926944;7,9263236904992445;8,861973051317031;9,452218721475115;10,733310489266003
760;3,9804345544523345;5,081820281502954;6,099594822575714;6,905202660357555;7,880621711146085;8,81132654760852;9,397718152627858;10,671405759060535
765;3,9574213290032847;5,0520134621161334;6,064334215399539;6,865285964052139;7,835480346766365;8,761298763922508;9,343886131807515;10,61026050231895
770;3,9346897851366696;5,022573951221261;6,029505170545568;6,825857811369749;7,7908891232753374;8,71187817141317;9,290710168358524;10,54986052838722
775;3,9122346793420277;4,993494881175285;5,99509965479715;6,786909108496385;7,746837828616711;8,663053529081047;9,238178084102657;10,490192001639812
780;3,89005089871589;4,96476955595551;5,961109835025439;6,7484309881214966;7,7033165045692185;8,614813874786375;9,186278003568066;10,431241430377614
785;3,86813345689711;4,9363914458046985;5,927528071962555;6,71041480238909;7,660315438859961;8,56714851659846;9,134998344584199;10,372995656141624
790;3,846477490153617;4,9083541820761;5,894346914206682;6,672852116111426;7,617825157571191;8,520047024466484;9,084327809226595;10,315441843424185
795;3,8250782536140546;4,880651552269727;5,8615590924491325;6,635734700233947;7,575836417827793;8,473499222197848;9,034255375096492;10,258567469760635
800;3,8039311176380544;4,853277495251649;5,829157513913778;6,599054525540644;7,534340200753456;8,427495179730837;8,984770286920806;10,202360316185032
805;3,7830315643192094;4,826226096648437;5,79713525699978;6,562803756589534;7,4933277046840026;8,382025205689082;8,935862048458798;10,146808458034316
810;3,7623751841151254;4,799491584409323;5,765485566118983;6,5269747458685;7,452790338626982;8,337079840205806;8,88752041470243;10,09190025608622
815;3,741957672599162;4,773068324528967;5,734201846719735;6,491560028162185;7,412719715957147;8,292649848006546;8,839735384357994;10,037624348016735
820;3,721774827328765;4,746950816924055;5,703277660489305;6,456552315121047;7,3731076483378875;8,24872621173947;8,792497192597226;9,983969640163831
825;3,7018225448255166;4,721133691457336;5,672706720727456;6,421944490024166;7,333946139859218;8,205300125543014;8,745796304066669;9,930925299584578
830;3,6820968176622775;4,695611704102937;5,642482887884073;6,387729602727762;7,295227381383364;8,162362988841002;8,699623406144575;9,878480746393567
835;3,6625937316529944;4,670379733247128;5,612600165254061;6,353900864791753;7,256943745089364;8,119906400355873;8,653969402435177;9,826625646371019
840;3,643309463140972;4,6454327761189855;5,58305269482308;6,320451644777053;7,219087779208552;8,077922152331132;8,608825406490569;9,775349903829527
845;3,624240276381594;4,6207659453456325;5,553834753257992;6,28737546370669;7,181652202943161;8,036402224954482;8,564182735750975;9,724643654728952
850;3,605382521015667;4,5963744656270205;5,524940748036103;6,254665990684043;7,144629901560624;7,995338780973558;8,520032905694547;9,674497260029373
855;3,5867326296297395;4,5722536705254075;5,496365213707675;6,222317038661935;7,108013921656512;7,95472416049648;8,476367624188244;9,624901299272551
860;3,5682871153999134;4,5483989993649585;5,468102808286319;6,190322560356501;7,071797466579361;7,914550875969906;8,433178786031803;9,575846564382763
865;3,550042569815819;4,524805994237048;5,440148309762211;6,158676644300083;7,035973892010962;7,874811607327468;8,39045846768708;9,527324053678276
870;3,5319956604815883;4,501470297107092;5,41249661273326;6,127373511027652;7,000536701695947;7,835499197301909;8,34819892218545;9,479324966085137
875;3,5141431289907983;4,478387647018905;5,385142725149578;6,096407509391492;6,9654795433148236;7,796606646894477;8,306392574206251;9,431840695545322
880;3,496481788872476;4,455553877392754;5,358081765166836;6,065773112999141;6,930796204494848;7,758127110995439;8,265032015319633;9,384862825611666
885;3,479008523605415;4,43296491341346;5,3313089581042545;6,035464916769778;6,896480608953361;7,720053894149838;8,224109999387355;9,338383124222286
890;3,4617202846981554;4,410616769505048;5,3048196335031905;6,00547763360449;6,862526812768505;7,682380446462913;8,183619438115485;9,292393538647584
895;3,4446140898321014;4,3885055468886405;5,278609222282438;5,975806091166028;6,82892900077238;7,645100359639792;8,143553396753134;9,246886190603195
900;3,427687021065357;4,366627431220348;5,2526732539865675;5,946445228763861;6,795681483062007;7,608207363154349;8,103905089931658;9,201853371522521
905;3,4109362230949754;4,344978690306175;5,227007354123729;5,917390094340531;6,762778691623588;7,571695320542323;8,064667877638977;9,157287537982809
910;3,3943589015754116;4,323555671890965;5,201607241589567;5,8886358415554705;6,730215177065792;7,535558225813998;8,025835261323923;9,113181307278957
915;3,3779523214910583;4,302354801518622;5,176468726173981;5,860177726962608;6,697985605457975;7,499790199981955;7,987400880125698;9,069527453139493
920;3,361713805580845;4,281372580460934;5,151587706147656;5,832011107278274;6,666084755269407;7,464385487699623;7,949358507223817;9,026318901579428
925;3,345640732812961;4,260605583712432;5,126960165925366;5,804131436736018;6,634507514405737;7,429338454006472;7,9117020463039935;8,98354872688487
930;3,329730536907847;4,240050458048842;5,102582173803231;5,7765342645251385;6,603248877339129;7,394643581175946;7,8744255281357285;8,941210147724538
935;3,313980704907679;4,219703920146778;5,078449879767195;5,749215232309831;6,572303942328596;7,3602954656623485;7,837523107257476;8,899296523383533
940;3,298388775790637;4,199562754762437;5,054559513370111;5,72217007182602;6,5416679087272485;7,326288815143051;7,8009890587654445;8,857801350114837
945;3,2829523391283324;4,1796238129671295;5,03090738167495;5,695394602553011;6,511336074373278;7,292618445652583;7,764817775202271;8,816718257604293
950;3,2676690337848253;4,159884010437599;5,007489867261712;5,668884729457293;6,48130383306168;7,2592792788052645;7,729003763541954;8,776041005544986
955;3,2525365466557363;4,140340325799135;4,984303426295769;5,642636440805853;6,45156667209375;7,226266339103195;7,693541642267561;8,735763480316999
